,,"????????????12????????? [Percentage of EPU articles that discuss specific policy matters, 12-month centered moving average]",,,,,
?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
2014,10,60.51098783,22.47886373,8.624526071,0.656338026,,
2014,11,60.06560149,22.67173246,8.465325933,0.711107638,,
2014,12,59.92910387,22.80769117,8.907963682,0.729402107,,
2015,1,59.9805033,22.78672516,9.067489329,0.694704299,,
2015,2,59.72898439,22.89492456,9.080473117,0.820353515,,
2015,3,58.70242542,23.29621357,9.001336917,1.147049473,,
2015,4,58.19933544,23.42370225,10.0201462,1.345263905,,
2015,5,57.99739689,22.75488826,12.00913554,1.366209537,,
2015,6,57.53768317,22.06146695,12.92836919,1.327493962,,
2015,7,57.01846061,22.1327231,13.68076769,1.271081881,,
2015,8,56.6732924,23.779734,14.45838341,1.320995236,,
2015,9,57.11246984,25.6102753,14.6533427,1.440541531,,
2015,10,57.69476647,26.20738984,14.77392765,1.509323248,,
2015,11,58.74749927,27.11708738,14.71703698,1.756156547,,
2015,12,60.29064871,28.29605866,14.83065019,2.092842036,,
2016,1,60.86532235,29.40918585,15.18734127,2.223656616,,
2016,2,60.71888871,30.37937858,15.57119578,2.062122482,,
2016,3,60.60036571,31.31834483,16.0938607,1.737249248,,
2016,4,60.14498852,32.25499889,16.1097029,1.531879095,,
2016,5,59.7495916,32.74399953,16.32149931,1.507270792,,
2016,6,59.72521205,32.59677016,17.08137366,1.607972476,,
2016,7,60.07902283,31.68071511,17.83298077,1.740786499,,
2016,8,60.49755257,29.84224318,19.16956164,1.73464205,,
2016,9,60.52158791,28.03252055,20.24704987,1.660789064,,
2016,10,60.29932819,26.88301273,20.51686969,1.59349514,,
2016,11,59.42274527,25.75342279,20.60474365,1.34902206,,
2016,12,58.57693953,25.00890314,20.56743904,1.000245388,,
2017,1,58.36855507,24.67413255,20.72214202,0.810204889,,
2017,2,58.59303201,24.10090119,21.27478117,0.771079051,,
2017,3,58.80336355,23.08780206,21.25770643,0.755544654,,
2017,4,59.07222857,22.48741887,20.45658707,0.755349341,,
2017,5,59.3566862,22.6311027,19.26662025,0.725825693,,
2017,6,59.25319201,22.78376479,18.29543069,0.609576745,,
2017,7,58.94868448,23.16717213,17.29491923,0.444040209,,
2017,8,58.7619008,23.82017722,15.55321501,0.318171931,,
2017,9,59.12564016,24.20580907,14.93150344,0.249910188,,
2017,10,59.54116501,24.23655523,16.35907455,0.196971616,,
2017,11,59.68905932,23.99137294,17.91436309,0.13470538,,
2017,12,59.84884783,23.45526259,19.04935248,0.103066554,,
2018,1,60.60017967,23.11222036,20.71448672,0.144820337,,
2018,2,61.3747162,23.19862385,22.17196735,0.218303764,,
2018,3,62.25923276,23.22645637,23.44841124,0.335700491,,
2018,4,63.61541258,22.62029532,25.23871301,0.449135128,,
2018,5,64.53573815,21.56908096,26.28030408,0.497823131,,
2018,6,65.29203729,20.92547983,27.2885934,0.51171202,,
2018,7,65.94248135,20.66292402,28.7718159,0.51171202,,
2018,8,65.83486622,20.31963638,30.30179342,0.571868297,,
2018,9,65.58186728,20.23658708,31.20170467,0.632024574,,
2018,10,65.67802588,20.49569947,30.64020793,0.678448058,,
2018,11,66.15833631,20.69043539,30.51202728,0.731679821,,
2018,12,66.56141443,20.99646408,31.24268516,0.734960763,,
2019,1,66.4524846,21.24743235,30.94879947,0.696711203,,
2019,2,66.47813284,21.20968923,30.79133699,0.619303972,,
2019,3,66.69526802,20.98549836,31.32082159,0.511689582,,
2019,4,66.38729948,20.84906653,31.35855835,0.410587134,,
2019,5,66.06676369,21.01690539,31.31168777,0.360525179,,
2019,6,65.74205495,20.8775185,31.37588276,0.383436483,,
2019,7,65.27771676,20.59895901,31.24889373,0.456055497,,
2019,8,65.57922395,20.40830179,30.53064407,0.431718042,,
2019,9,65.50332502,20.71944811,29.08918586,0.413283926,,
2019,10,65.11920362,20.94570524,27.21488511,0.397135716,,
2019,11,64.69566893,20.62603439,25.10843113,0.332457067,,
2019,12,64.26494174,20.33352987,22.60252143,0.322723911,,
2020,1,64.05818599,19.95041238,20.24755202,0.319799035,,
2020,2,63.41483677,19.45460622,17.99192587,0.314891504,,
2020,3,62.38139082,19.06207644,15.78391525,0.306591364,,
2020,4,61.25419059,18.93302092,13.85278452,0.304266766,,
2020,5,60.58259805,18.9527917,12.32802075,0.332203164,,
2020,6,60.52950633,19.29670774,10.85304082,0.353249618,,
2020,7,60.1296956,19.28919015,9.153839883,0.321821282,,
2020,8,59.07506643,19.00400431,7.89859515,0.322256546,,
2020,9,58.47935903,18.30020024,7.486506374,0.306576052,,
2020,10,57.73211307,17.41550711,7.662442757,0.289655478,,
2020,11,56.51154872,17.23887345,7.747027487,0.314457066,,
2020,12,55.23185948,17.28217931,7.57410518,0.305477181,,
2021,1,53.49921572,17.24408416,7.297770471,0.357273359,,
